year,month,day,hour,minute,ncores
2020,9,5,18,0,24
2020,9,5,18,15,23
2020,9,5,18,30,22
2020,9,5,18,45,19
2020,9,8,18,0,18
2020,9,8,18,15,17
2020,9,8,18,45,15
2020,9,18,18,15,15
2020,9,19,18,0,23
2020,9,19,18,15,23
2020,9,19,18,30,23
2020,9,19,18,45,19
2020,9,20,18,0,23
2020,9,20,18,15,24
2020,9,20,18,30,20
2020,9,20,18,45,19
2020,9,29,18,15,16
2020,9,29,18,30,15
2020,9,29,18,45,15
2020,9,30,18,0,17
2020,9,30,18,15,15
2020,9,5,19,0,21
2020,9,5,19,15,16
2020,9,5,19,30,15
2020,9,8,19,0,17
2020,9,8,19,30,16
2020,9,19,19,0,18
2020,9,20,19,0,20
2020,9,20,19,15,16
2020,9,20,19,30,18
2020,9,20,19,45,17
2020,9,20,23,0,16
2020,9,20,23,15,16
2021,6,11,1,15,16
2021,6,11,1,30,16
2021,6,11,1,45,15
2021,6,14,1,0,16
2021,6,14,1,15,16
2021,6,14,1,30,15
2021,6,14,1,45,16
2021,6,20,1,0,19
2021,6,20,1,15,16
2021,6,11,0,15,15
2021,6,11,0,45,15
2021,6,14,0,45,15
2021,6,20,0,45,17
2021,6,14,3,30,17
2021,6,14,3,45,17
2021,6,11,2,0,15
2021,6,14,2,0,16
2021,6,20,7,0,16
2021,6,20,7,15,20
2021,6,10,9,30,16
2021,6,10,9,45,16
2021,6,10,10,0,17
2021,6,10,10,15,22
2021,6,10,10,30,17
2021,6,10,10,45,15
2021,6,10,13,0,20
2021,6,10,13,15,16
2021,6,10,13,30,15
2021,6,10,13,45,18
2021,6,13,13,0,20
2021,6,13,13,15,23
2021,6,13,13,30,25
2021,6,13,13,45,21
2021,6,3,14,45,17
2021,6,9,14,0,18
2021,6,9,14,15,15
2021,6,9,14,30,16
2021,6,9,14,45,15
2021,6,10,14,0,18
2021,6,10,14,15,21
2021,6,10,14,30,19
2021,6,10,14,45,20
2021,6,13,14,0,29
2021,6,13,14,15,28
2021,6,13,14,30,30
2021,6,13,14,45,32
2021,6,19,14,45,15
2021,6,20,14,15,15
2021,6,20,14,30,15
2021,6,20,14,45,17
2021,6,25,14,0,17
2021,6,25,14,15,18
2021,6,25,14,30,21
2021,6,25,14,45,23
2021,6,3,15,0,20
2021,6,3,15,15,17
2021,6,3,15,45,18
2021,6,6,15,15,15
2021,6,6,15,30,16
2021,6,6,15,45,15
2021,6,9,15,45,16
2021,6,10,15,0,23
2021,6,10,15,15,24
2021,6,10,15,30,23
2021,6,10,15,45,24
2021,6,13,15,0,30
2021,6,13,15,15,30
2021,6,13,15,30,31
2021,6,13,15,45,38
2021,6,19,15,0,18
2021,6,19,15,15,22
2021,6,19,15,30,19
2021,6,19,15,45,16
2021,6,20,15,0,23
2021,6,20,15,15,21
2021,6,20,15,30,21
2021,6,20,15,45,23
2021,6,25,15,0,24
2021,6,25,15,15,26
2021,6,25,15,30,27
2021,6,25,15,45,29
2021,6,26,15,45,16
2021,6,10,11,0,18
2021,6,10,11,15,23
2021,6,10,11,30,25
2021,6,10,11,45,20
2021,6,10,12,0,21
2021,6,10,12,15,18
2021,6,10,12,30,20
2021,6,10,12,45,19
2021,6,13,12,45,16
2021,6,10,19,0,22
2021,6,10,19,15,23
2021,6,10,19,30,21
2021,6,10,19,45,23
2021,6,13,19,45,15
2021,6,19,19,0,15
2021,6,19,19,30,16
2021,6,19,19,45,18
2021,6,20,19,0,15
2021,6,20,19,45,16
2021,6,25,19,0,16
2021,6,26,19,0,16
2021,6,26,19,15,15
2021,6,26,19,30,15
2021,6,26,19,45,15
2021,6,3,18,0,21
2021,6,3,18,15,18
2021,6,3,18,30,16
2021,6,8,18,45,16
2021,6,10,18,0,18
2021,6,10,18,15,18
2021,6,10,18,30,17
2021,6,10,18,45,22
2021,6,13,18,0,21
2021,6,13,18,15,18
2021,6,13,18,30,17
2021,6,19,18,0,18
2021,6,19,18,15,18
2021,6,19,18,30,17
2021,6,19,18,45,15
2021,6,20,18,0,16
2021,6,20,18,15,15
2021,6,25,18,0,18
2021,6,25,18,30,21
2021,6,25,18,45,18
2021,6,26,18,15,16
2021,6,26,18,30,17
2021,6,10,21,0,16
2021,6,10,21,15,15
2021,6,10,21,30,16
2021,6,10,21,45,18
2021,6,26,21,0,23
2021,6,26,21,15,19
2021,6,10,22,0,15
2021,6,10,22,15,16
2021,6,10,22,30,16
2021,6,26,22,15,16
2021,6,26,22,45,15
2021,6,10,20,0,19
